,City,app_temp,clouds,clouds_hi,clouds_low,clouds_mid,datetime,dewpt,dhi,dni,ghi,ozone,pod,pop,precip,pres,rh,slp,snow,snow_depth,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather,wind_cdir,wind_cdir_full,wind_dir,wind_gust_spd,wind_spd
0,Jeddah,27.5,0,0,0,0,2020-04-17:17,8,0,0,0,278.417,n,0,0,1001.43,28,1008.21,0,0,0,28.6,2020-04-17T20:00:00,2020-04-17T17:00:00,1587142800,0,24.1352,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",N,north,7,1.1321,1.06664
1,Jeddah,27.6,0,0,0,0,2020-04-17:18,7.9,0,0,0,278.076,n,0,0,1001.73,27,1008.51,0,0,0,28.9,2020-04-17T21:00:00,2020-04-17T18:00:00,1587146400,0,24.135,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",NNE,north-northeast,22,1.42247,1.31212
2,Jeddah,27.5,0,0,0,0,2020-04-17:19,8,0,0,0,276.9,n,0,0,1001.99,28,1008.78,0,0,0,28.6,2020-04-17T22:00:00,2020-04-17T19:00:00,1587150000,0,24.1349,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",NE,northeast,52,1.50153,1.26486
3,Jeddah,27.1,0,0,0,0,2020-04-17:20,8.1,0,0,0,275.25,n,0,0,1002.14,29,1008.8,0,0,0,28.1,2020-04-17T23:00:00,2020-04-17T20:00:00,1587153600,0,24.1351,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",E,east,81,1.75551,1.45104
4,Jeddah,26.8,0,0,0,0,2020-04-17:21,8.3,0,0,0,274.05,n,0,0,1002.24,30,1008.76,0,0,0,27.6,2020-04-18T00:00:00,2020-04-17T21:00:00,1587157200,0,24.1348,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",WNW,west-northwest,294,0.644788,0.64503
5,Jeddah,26.7,0,0,0,0,2020-04-17:22,9.7,0,0,0,272.823,n,0,0,1001.97,33,1008.49,0,0,0,27.3,2020-04-18T01:00:00,2020-04-17T22:00:00,1587160800,0,24.135,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",WNW,west-northwest,301,3.63526,3.32109
6,Jeddah,26,0,0,0,0,2020-04-17:23,10,0,0,0,272.469,n,0,0,1001.92,36,1008.36,0,0,0,26.3,2020-04-18T02:00:00,2020-04-17T23:00:00,1587164400,0,24.135,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",NNW,north-northwest,330,6.62143,5.5038
7,Jeddah,24.7,0,0,0,0,2020-04-18:00,14.1,0,0,0,272.229,n,0,0,1001.8,52,1008.02,0,0,0,24.8,2020-04-18T03:00:00,2020-04-18T00:00:00,1587168000,0,24.135,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",NNW,north-northwest,344,8.2242,6.42693
8,Jeddah,24.3,0,0,0,0,2020-04-18:01,15.6,0,0,0,272.159,n,0,0,1001.7,58,1007.86,0,0,0,24.3,2020-04-18T04:00:00,2020-04-18T01:00:00,1587171600,0,24.1349,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",NNW,north-northwest,356,7.53111,5.41
9,Jeddah,24,0,0,0,0,2020-04-18:02,15.3,0,0,0,272.294,n,0,0,1001.88,58,1008.24,0,0,0,24,2020-04-18T05:00:00,2020-04-18T02:00:00,1587175200,0,24.1349,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",NNE,north-northeast,12,6.70326,4.66554
